weight,threshold,trade_rate_mean,hold_fraction_mean,realized_exp_mean,realized_exp_std,realized_exp_cv_pct,dir_bar_exp_mean,hold_bar_exp_mean,breakeven_rt_mean,n_trades_mean,daily_pnl_mean,realized_fold1,realized_fold2,realized_fold3
1.0,0.5,0.8518110743722463,0.44389057472507454,0.901517613505994,1.1589780860331114,128.5585626581222,3.774717324621069,-2.677496487511954,4.641517613505996,197841.0,3380.030504575155,0.010826135364183474,2.5384366083743046,0.1552900967794935
1.0,0.55,0.6451647298228649,0.4377815635448099,0.8283398523778597,1.106159797464237,133.5393672402527,3.865869502955498,-3.0604083497704253,4.5683398523778616,149902.33333333334,2290.7413379084906,-0.260504602235374,2.3454889486115613,0.4000352107573919
1.0,0.6,0.04512542837222563,0.4197295623523465,-4.294870368511543,4.37636795276647,101.89755632329297,4.4880881992685655,-16.886682670618523,-0.5548703685115396,10542.666666666666,-519.4088581699352,-10.480352811466377,-1.018417694138008,-1.385840599930243
1.0,0.65,0.004250819007737126,0.5380620127362804,-9.108130492987177,8.808969399028795,96.71545006751143,6.070387789064045,-25.887984885319,-5.368130492987173,993.6666666666666,-285.662634640523,3.325746753246751,-15.992852972399156,-14.657285259809123
1.0,0.7,0.0013368755632307296,0.47148973277857403,1.3040885202862835,13.60836902114264,1043.5157437131052,5.082463768115941,-14.349524885875107,5.0440885202862855,311.6666666666667,-51.78728039215688,20.009999999999998,-11.966547388781434,-4.1311870503597135
1.0,0.75,0.0006929083382717773,0.4100719424460431,-0.2915947242206241,2.7044395160334065,927.4651738853803,2.3164174454828657,-4.84359375,2.20173860911271,160.33333333333334,-5.92416078431373,0.0,2.8652158273381287,-3.740000000000001
1.0,0.8,5.646607094961815e-05,0.016666666666666666,0.2012499999999995,0.2846104794275847,141.4213562373095,0.6831578947368419,-8.955,1.4479166666666667,13.333333333333334,0.1578431372549016,0.0,0.6037499999999986,0.0
1.0,0.85,1.4116517737404537e-05,0.0,-3.0799999999999996,4.355777772109131,141.42135623730948,-3.0799999999999996,0.0,-1.8333333333333333,3.3333333333333335,-0.6039215686274509,0.0,-9.239999999999998,0.0
1.0,0.9,4.234955321221361e-06,0.0,-4.163333333333333,5.887842464679986,141.4213562373095,-4.163333333333333,0.0,-2.9166666666666665,1.0,-0.24490196078431373,0.0,-12.49,0.0
0.5,0.5,0.0030193529880822786,0.5743814964938879,-2.5058406649010103,7.5673447486133325,301.98826504047776,5.773243092345429,-13.595601791455067,1.2341593350989921,705.0,-97.13184836601312,7.496559139784943,-10.802652563059402,-4.211428571428573
0.5,0.55,0.0009496121010706653,0.4812053432743088,6.1326312519415955,10.123611857767218,165.07778540511586,4.8842138364779855,-2.4921893351637325,9.872631251941597,220.66666666666666,-4.9908862745098155,20.009999999999998,2.2427586206896515,-3.8548648648648665
0.5,0.6,0.00017649712620616085,0.40322580645161293,-9.101196236559142,17.619304483899825,193.59328187127514,2.2482312925170063,-9.488525641025642,-6.607862903225807,41.666666666666664,4.991504575163398,0.0,6.436411290322579,-33.74
0.5,0.65,7.481754400824405e-05,0.018867924528301886,2.809937106918238,3.9738511660191898,141.4213562373095,2.5533333333333323,7.086666666666666,4.056603773584905,17.666666666666668,2.9201307189542476,0.0,8.429811320754714,0.0
0.5,0.7,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.75,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.8,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.85,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.9,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33,0.5,0.00014257682914778583,0.052805280528052806,3.078828382838282,4.354120855229123,141.42135623730954,2.4641176470588233,6.344479166666666,4.3254950495049505,33.666666666666664,6.0972875816993435,0.0,9.236485148514847,0.0
0.33,0.55,3.811459789099225e-05,0.012345679012345678,4.632962962962962,6.55199905619446,141.4213562373095,4.586666666666666,5.836666666666666,5.87962962962963,9.0,2.452745098039215,0.0,13.898888888888886,0.0
0.33,0.6,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33,0.65,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33,0.7,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33,0.75,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33,0.8,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33,0.85,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33,0.9,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.5,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.55,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.6,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.65,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.7,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.75,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.8,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.85,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.9,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.5,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.55,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.6,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.65,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.7,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.75,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.8,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.85,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.9,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
